Name,Sale Price,Discount,Product Link
Corsair RX120 RGB 120mm PWM Case Fans with iCUE LINK System Hub - 3 Pack - Black - Only at Best Buy,$109.99,SAVE $25,N/A
Corsair iCUE Link QX120 RGB 120mm PWM Triple Fans Starter Kit - Black,$189.99,SAVE $25,N/A
Corsair iCUE SP120 RGB Elite Performance 120mm Triple Case Fan Kit - Black,$59.99,SAVE $20,https://www.bestbuy.ca/en-ca/product/corsair-icue-sp120-rgb-elite-performance-120mm-triple-case-fan-kit-black/15454762
Corsair TM30 Performance Thermal Paste,N/A,N/A,https://www.bestbuy.ca/en-ca/product/corsair-tm30-performance-thermal-paste/14193869
Corsair XTM50 High Performance Thermal Paste,$11.99,SAVE $8,https://www.bestbuy.ca/en-ca/product/corsair-xtm50-high-performance-thermal-paste/15968963
Corsair iCUE LINK H100i RGB 240mm Liquid CPU Cooling System - Black,$149.99,SAVE $50,https://www.bestbuy.ca/en-ca/product/corsair-icue-link-h100i-rgb-240mm-liquid-cpu-cooling-system-black/17194803
Corsair iCUE LINK H100i RGB 240mm Liquid CPU Cooling System - White,$149.99,SAVE $65,https://www.bestbuy.ca/en-ca/product/corsair-icue-link-h100i-rgb-240mm-liquid-cpu-cooling-system-white/17194801
Thermaltake UX200 SE 120 mm CPU Air Cooler,N/A,N/A,https://www.bestbuy.ca/en-ca/product/thermaltake-ux200-se-120-mm-cpu-air-cooler/17154195
Corsair RX120 RGB 120mm PWM Case Fan - Black (Requires iCUE LINK System Hub),$40.98,SAVE $9,N/A
ASUS ROG Strix LC II 360 ARGB 120mm Liquid CPU Cooling System,N/A,N/A,https://www.bestbuy.ca/en-ca/product/asus-rog-strix-lc-ii-360-argb-120mm-liquid-cpu-cooling-system/17726062
Corsair iCUE LINK Titan RX RGB 360mm Liquid CPU Cooling System - Black,$229.99,SAVE $40,https://www.bestbuy.ca/en-ca/product/corsair-icue-link-titan-rx-rgb-360mm-liquid-cpu-cooling-system-black/18483799
Corsair RX120 RGB 120mm PWM Case Fans with iCUE LINK System Hub - 3 Pack - Black - Only at Best Buy,$109.99,SAVE $25,https://www.bestbuy.ca/en-ca/product/corsair-rx120-rgb-120mm-pwm-case-fans-with-icue-link-system-hub-3-pack-black-only-at-best-buy/17721246
Corsair iCUE Commander Core XT Fan Controller,N/A,N/A,https://www.bestbuy.ca/en-ca/product/corsair-icue-commander-core-xt-fan-controller/15744970
Corsair iCUE SP120 RGB Elite Performance 120mm Triple Case Fan Kit - White,N/A,N/A,https://www.bestbuy.ca/en-ca/product/corsair-icue-sp120-rgb-elite-performance-120mm-triple-case-fan-kit-white/15454761
Corsair iCUE LINK Titan RX RGB 360mm Liquid CPU Cooling System - White,$229.99,SAVE $40,https://www.bestbuy.ca/en-ca/product/corsair-icue-link-titan-rx-rgb-360mm-liquid-cpu-cooling-system-white/18483801
Corsair iCUE H150i Elite LCD XT 360mm Liquid CPU Cooling System,N/A,N/A,https://www.bestbuy.ca/en-ca/product/corsair-icue-h150i-elite-lcd-xt-360mm-liquid-cpu-cooling-system/16658115
Corsair iCUE LINK H100i RGB 240mm Liquid CPU Cooling System - Black,$149.99,SAVE $50,N/A
Corsair LL120 RGB 120mm Case Fan - 3 Pack,N/A,N/A,https://www.bestbuy.ca/en-ca/product/corsair-ll120-rgb-120mm-case-fan-3-pack/14193866
Corsair XTM70 Extreme Performance CPU Thermal Paste,N/A,N/A,https://www.bestbuy.ca/en-ca/product/corsair-xtm70-extreme-performance-cpu-thermal-paste/16658111
Thermaltake ASTRIA 600 ARGB CPU Cooler - Black,N/A,N/A,https://www.bestbuy.ca/en-ca/product/thermaltake-astria-600-argb-cpu-cooler-black/18166140
Corsair AF120 Elite High-Performance 120mm Case Fan,N/A,N/A,https://www.bestbuy.ca/en-ca/product/corsair-af120-elite-high-performance-120mm-case-fan/16658110
Corsair RX120 RGB 120mm PWM Case Fan - Black (Requires iCUE LINK System Hub),$40.98,SAVE $9,https://www.bestbuy.ca/en-ca/product/corsair-rx120-rgb-120mm-pwm-case-fan-black-requires-icue-link-system-hub/17721244
Corsair iCUE Link QX120 RGB 120mm PWM Triple Fans Starter Kit - Black,$189.99,SAVE $25,https://www.bestbuy.ca/en-ca/product/corsair-icue-link-qx120-rgb-120mm-pwm-triple-fans-starter-kit-black/17154377
Corsair iCUE H150i Elite Capellix XT 360mm Liquid CPU Cooling System - White,N/A,N/A,https://www.bestbuy.ca/en-ca/product/corsair-icue-h150i-elite-capellix-xt-360mm-liquid-cpu-cooling-system-white/16658119
Corsair iCUE LINK H150i RGB 360mm Liquid CPU Cooling System- White,$269.99,SAVE $25,https://www.bestbuy.ca/en-ca/product/corsair-icue-link-h150i-rgb-360mm-liquid-cpu-cooling-system-white/17194800
Corsair iCUE LINK Titan RX RGB 240mm Liquid CPU Cooling System - Black,$179.99,SAVE $35,https://www.bestbuy.ca/en-ca/product/corsair-icue-link-titan-rx-rgb-240mm-liquid-cpu-cooling-system-black/18483800
Corsair iCUE H60x RGB Elite 120mm Liquid CPU Cooling System,N/A,N/A,https://www.bestbuy.ca/en-ca/product/corsair-icue-h60x-rgb-elite-120mm-liquid-cpu-cooling-system/17062129
ASUS ROG RYUO III 360 RGB Liquid CPU Cooling System - White,N/A,N/A,https://www.bestbuy.ca/en-ca/product/asus-rog-ryuo-iii-360-rgb-liquid-cpu-cooling-system-white/17223573
Corsair AF120 Elite High-Performance 120mm Case Fan,N/A,N/A,N/A
