Name,Sale Price,Discount,Rating,Number of Reviews,Product Link,Image URL
ASUS TUF Gaming GeForce RTX 4080 SUPER OC 16GB GDDR6X Video Card,N/A,N/A,4.91,176,N/A,N/A
ASUS TUF Gaming GeForce RTX 4070 Ti Super OC 16GB GDDR6X Video Card,N/A,N/A,4.86,149,N/A,N/A
PNY GeForce RTX 4080 Super 16GB OC TF ARGB GDDR6X Video Card,"$1,298.98",SAVE $51,4.9,10,https://www.bestbuy.ca/en-ca/product/pny-geforce-rtx-nbsp-4080-super-16gb-oc-tf-argb-gddr6x-video-card/17697553,N/A
PNY GeForce RTX 4080 Super 16GB OC TF GDDR6X Video Card,"$1,299.99",SAVE $30,4.58,31,https://www.bestbuy.ca/en-ca/product/pny-geforce-rtx-4080-super-16gb-oc-tf-gddr6x-video-card/17697549,N/A
ASUS TUF Gaming GeForce RTX 4080 SUPER OC 16GB GDDR6X Video Card,N/A,N/A,4.91,176,https://www.bestbuy.ca/en-ca/product/asus-tuf-gaming-geforce-rtx-4080-super-oc-16gb-gddr6x-video-card/17664936,N/A
ZOTAC Gaming NVIDIA GeForce RTX 4060 GPU 8GB GDDR6 Video Card,$379.99,SAVE $26,3.67,3,https://www.bestbuy.ca/en-ca/product/zotac-gaming-nvidia-geforce-rtx-4060-gpu-8gb-gddr6-video-card/17210592,N/A
PNY GeForce RTX 4070 Super 12GB OC DF GDDR6X Video Card,$779.99,SAVE $10,4.86,7,https://www.bestbuy.ca/en-ca/product/pny-geforce-rtx-4070-super-12gb-oc-df-gddr6x-video-card/17697550,N/A
ASUS ROG Strix Gaming GeForce RTX 4070 Ti Super OC 16GB GDDR6X Video Card,N/A,N/A,4.69,29,https://www.bestbuy.ca/en-ca/product/asus-rog-strix-gaming-geforce-rtx-4070-ti-super-oc-16gb-gddr6x-video-card/17664926,N/A
ASUS ROG Strix Gaming GeForce RTX 4070 Ti Super OC 16GB GDDR6X Video Card,N/A,N/A,4.69,29,N/A,N/A
ASUS TUF Gaming GeForce RTX 4070 Ti Super OC 16GB GDDR6X Video Card,N/A,N/A,4.86,149,https://www.bestbuy.ca/en-ca/product/asus-tuf-gaming-geforce-rtx-4070-ti-super-oc-16gb-gddr6x-video-card/17664927,N/A
ASUS Dual NVIDIA GeForce RTX 3060 V2 12GB GDDR6 Video Card,$378.98,SAVE $11,4.77,176,https://www.bestbuy.ca/en-ca/product/asus-dual-nvidia-geforce-rtx-3060-v2-12gb-gddr6-video-card/15848970,N/A
